,Düz,Otomatik,YarıOtomatik,Dizel,Benzin/Lpg,Benzin,1300ccvealtı,1601-1800cc,1301-1600cc,6001ccveüzeri,ArabaYıl,Fiyat,Km
94,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,14.7,81.0
95,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,2.7,81.0
96,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,129.0,81.5
97,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,111.8,82.0
98,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,1.3,82.0
99,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2018,48.0,82.5
100,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,100.0,82.5
101,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2015,76.0,82.5
102,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,186.0,82.9
103,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2016,99.0,82.9
104,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2018,9.0,82.95
105,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,87.0,83.0
106,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,62.0,83.5
107,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2018,20.0,83.5
108,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2017,73.0,83.85
109,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2016,83.0,83.9
110,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2016,23.3,84.0
111,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2019,30.0,84.0
